source_id,councilor_name,council_term,session_name,video_title,video_url,meeting_date,topic_guess,crawled_at,raw_hash
CYCC_QUESTION_VIDEO,,第十屆,第七次定期會,第十屆 第七次定期會 質詢影音 EGhV1dMaYhY,https://www.youtube.com/embed/EGhV1dMaYhY,,其他,2026-05-21T07:26:08.471650+00:00,eea89297d19f4b257b665a9af2b299efa184f8fc906082fd8d5e7ed7375b86ec
CYCC_QUESTION_VIDEO,,第十屆,第七次定期會,第十屆 第七次定期會 質詢影音 VEQBk-DdveQ,https://www.youtube.com/embed/VEQBk-DdveQ,,其他,2026-05-21T07:26:08.471650+00:00,a5e0273eef6e6fd4b01bf81995d9ae4d9a8fdeb8ffbfdb20c95b4ca2a2fec50d
CYCC_QUESTION_VIDEO,,第十屆,第七次定期會,第十屆 第七次定期會 質詢影音 jyiFdbuGlsw,https://www.youtube.com/embed/jyiFdbuGlsw,,其他,2026-05-21T07:26:08.471650+00:00,8b03d511db45ddfdf4024793a893d680c7c9fbb5b69aaf5a134ddc19a18c34e9
CYCC_QUESTION_VIDEO,,第十屆,第七次定期會,第十屆 第七次定期會 質詢影音 UVcCjOqoeoA,https://www.youtube.com/embed/UVcCjOqoeoA,,其他,2026-05-21T07:26:08.471650+00:00,4104eb68ed20c8c0a885eb052815d30f3737c16562812140ead75a83abed71b6
CYCC_QUESTION_VIDEO,,第十屆,第七次定期會,第十屆 第七次定期會 質詢影音 -SyWRRUCM6A,https://www.youtube.com/embed/-SyWRRUCM6A,,其他,2026-05-21T07:26:08.471650+00:00,4ea24b40857d24612c340aee98b7aade101d9553e2ab84309ae7032f7176e07b
CYCC_QUESTION_VIDEO,,第十屆,第七次定期會,第十屆 第七次定期會 質詢影音 cgeRv6xTcqw,https://www.youtube.com/embed/cgeRv6xTcqw,,其他,2026-05-21T07:26:08.471650+00:00,4f2771e34f4579785e7203bdbf84f59ad9a59be64a3c5e636f43af6898752770
CYCC_QUESTION_VIDEO,,第十屆,第七次定期會,第十屆 第七次定期會 質詢影音 ezDw5M43EgQ,https://www.youtube.com/embed/ezDw5M43EgQ,,其他,2026-05-21T07:26:08.471650+00:00,1c7686f1025776e0d10d33b2ffd9feb6f1223ccaf2afd8a3971b5df06afc146e
CYCC_QUESTION_VIDEO,,第十屆,第七次定期會,第十屆 第七次定期會 質詢影音 xqnEj7n9yVI,https://www.youtube.com/embed/xqnEj7n9yVI,,其他,2026-05-21T07:26:08.471650+00:00,72806aeac45093f58dc9e41a68bc56c22b96ee22a747ef18e0643fa631209f96
CYCC_QUESTION_VIDEO,,第十屆,第七次定期會,第十屆 第七次定期會 質詢影音 PM6qc_PAzsc,https://www.youtube.com/embed/PM6qc_PAzsc,,其他,2026-05-21T07:26:08.471650+00:00,f0be4732e8857c47fa40d61a69bdce670404d54dcb36ca776292d586aa8f413b
CYCC_QUESTION_VIDEO,,第十屆,第七次定期會,第十屆 第七次定期會 質詢影音 S_GOzrvmCvE,https://www.youtube.com/embed/S_GOzrvmCvE,,其他,2026-05-21T07:26:08.471650+00:00,259205631c2160a3dea7c3bc979c04ab4d467cef214e1c7362abf8aa9f873f10
CYCC_QUESTION_VIDEO,,第十屆,第七次定期會,第十屆 第七次定期會 質詢影音 ebfARrGVC5E,https://www.youtube.com/embed/ebfARrGVC5E,,其他,2026-05-21T07:26:08.471650+00:00,3fb32889ac48e35f2c51d12a6f1f353c791385a3f9b14c8118cd12ab7ad10690
CYCC_QUESTION_VIDEO,,第十屆,第七次定期會,第十屆 第七次定期會 質詢影音 rBaZhbzaoMw,https://www.youtube.com/embed/rBaZhbzaoMw,,其他,2026-05-21T07:26:08.471650+00:00,4154ccd1a0ec0b86ba58db49c9dd679b3288e0b0c42521b92f2833029085ad18
CYCC_QUESTION_VIDEO,,第十屆,第七次定期會,第十屆 第七次定期會 質詢影音 48UAKOJmlck,https://www.youtube.com/embed/48UAKOJmlck,,其他,2026-05-21T07:26:08.471650+00:00,e7d93d990a151ab70f3ed45b5ea28190002bb9bf982d5c089a8a668ddd000535
CYCC_QUESTION_VIDEO,,第十屆,第七次定期會,第十屆 第七次定期會 質詢影音 F5rPH3AUI_U,https://www.youtube.com/embed/F5rPH3AUI_U,,其他,2026-05-21T07:26:08.471650+00:00,3ed1483aaa3dc8fcca061e0e81a50d7038f0263ff5b51a9913f846e5943bd7ab
